Gene,Rep,Temp.hot,N.Correct,N.total,N.is.SD,N.is.SC
94,1,1,943,943,0,1
94,2,1,893,894,0,1
95,1,1,512,512,1,0
95,2,1,433,433,1,0
95,1,1,419,420,0,1
95,2,1,368,369,0,1
96,1,1,3086,3090,1,0
96,2,1,3119,3124,1,0
96,1,1,2807,2840,0,1
96,2,1,3043,3074,0,1
97,1,1,483,483,1,0
97,2,1,618,620,1,0
97,1,1,609,641,0,1
97,2,1,535,572,0,1
98,1,1,268,273,1,0
98,2,1,430,451,1,0
98,1,1,556,559,0,1
98,2,1,525,526,0,1
99,1,1,1094,1969,1,0
99,2,1,1146,2047,1,0
99,1,1,1089,1092,0,1
99,2,1,1621,1623,0,1
100,1,1,148,148,1,0
100,2,1,204,204,1,0
100,1,1,219,290,0,1
100,2,1,219,272,0,1
101,1,1,1083,1087,1,0
101,2,1,1152,1159,1,0
101,1,1,1182,1279,0,1
101,2,1,1234,1356,0,1
102,1,1,65,65,1,0
102,2,1,67,67,1,0
102,1,1,126,126,0,1
102,2,1,109,110,0,1
103,1,1,501,526,1,0
103,2,1,505,529,1,0
103,1,1,576,696,0,1
103,2,1,573,691,0,1
104,1,1,1273,1276,1,0
104,2,1,1581,1586,1,0
104,1,1,1522,1881,0,1
104,2,1,1496,1792,0,1
105,1,1,548,548,1,0
105,2,1,637,639,1,0
105,1,1,513,519,0,1
105,2,1,678,683,0,1
106,1,1,214,214,1,0
106,2,1,496,496,1,0
106,1,1,543,543,0,1
106,2,1,585,585,0,1
107,1,1,1381,1424,1,0
107,2,1,2290,2336,1,0
107,1,1,2573,2777,0,1
107,2,1,2360,2550,0,1
108,1,1,394,434,1,0
108,2,1,377,433,1,0
108,1,1,751,766,0,1
108,2,1,757,773,0,1
109,1,1,3326,3387,1,0
109,2,1,3279,3305,1,0
109,1,1,3960,4015,0,1
109,2,1,4804,4886,0,1
110,1,1,401,409,1,0
110,2,1,421,434,1,0
110,1,1,458,496,0,1
110,2,1,416,451,0,1
111,1,1,173,174,1,0
111,2,1,192,193,1,0
111,1,1,185,185,0,1
111,2,1,195,196,0,1
112,1,1,951,964,1,0
112,2,1,717,736,1,0
112,1,1,796,828,0,1
112,2,1,564,594,0,1
113,1,1,439,439,1,0
113,2,1,504,506,1,0
113,1,1,621,632,0,1
113,2,1,513,521,0,1
114,1,1,117,117,1,0
114,2,1,91,97,1,0
114,1,1,134,134,0,1
114,2,1,172,172,0,1
115,1,1,1858,1861,1,0
115,2,1,2382,2385,1,0
115,1,1,3413,3413,0,1
115,2,1,2872,2879,0,1
116,1,1,4337,4355,1,0
116,2,1,7162,7242,1,0
116,1,1,10400,10406,0,1
116,2,1,11789,11808,0,1
117,1,1,149,151,1,0
117,2,1,188,188,1,0
117,1,1,299,345,0,1
117,2,1,258,292,0,1
118,1,1,545,546,1,0
118,2,1,649,651,1,0
118,1,1,775,833,0,1
118,2,1,788,837,0,1
119,1,1,136,137,1,0
119,2,1,179,181,1,0
119,1,1,283,289,0,1
119,2,1,247,249,0,1
120,1,1,655,666,1,0
120,2,1,710,711,1,0
120,1,1,599,634,0,1
120,2,1,530,567,0,1
121,1,1,172,172,1,0
121,2,1,200,200,1,0
121,1,1,338,351,0,1
121,2,1,333,355,0,1
122,1,1,153,153,1,0
122,2,1,259,259,1,0
122,1,1,163,173,0,1
122,2,1,169,178,0,1
123,1,1,1423,1436,1,0
123,2,1,833,839,1,0
123,1,1,538,589,0,1
123,2,1,249,268,0,1
124,1,1,285,293,1,0
124,2,1,569,585,1,0
124,1,1,737,779,0,1
124,2,1,473,494,0,1
125,1,1,385,388,1,0
125,2,1,539,542,1,0
125,1,1,669,696,0,1
125,2,1,808,843,0,1
126,1,1,442,442,1,0
126,2,1,493,496,1,0
126,1,1,629,629,0,1
126,2,1,591,592,0,1
127,1,1,258,258,1,0
127,2,1,370,371,1,0
127,1,1,538,538,0,1
127,2,1,476,477,0,1
128,1,1,39,39,1,0
128,2,1,34,34,1,0
128,1,1,31,32,0,1
128,2,1,34,34,0,1
129,1,1,5491,5509,1,0
129,2,1,11621,11645,1,0
129,1,1,19371,19380,0,1
129,2,1,17238,17258,0,1
130,1,1,408,412,1,0
130,2,1,523,523,1,0
130,1,1,955,957,0,1
130,2,1,818,819,0,1
131,1,1,676,678,1,0
131,2,1,629,631,1,0
131,1,1,1045,1065,0,1
131,2,1,854,866,0,1
132,1,1,135,135,1,0
132,2,1,111,112,1,0
132,1,1,205,205,0,1
132,2,1,97,98,0,1
133,1,1,41,41,1,0
133,2,1,45,45,1,0
133,1,1,37,37,0,1
133,2,1,50,50,0,1
134,1,1,2727,2728,1,0
134,2,1,2840,2845,1,0
134,1,1,2037,2109,0,1
134,2,1,2283,2387,0,1
135,1,1,4966,5028,1,0
135,2,1,6014,6030,1,0
135,1,1,3868,4785,0,1
135,2,1,3723,4676,0,1
136,1,1,4762,4887,1,0
136,2,1,4710,4787,1,0
136,1,1,7357,7362,0,1
136,2,1,7845,7848,0,1
137,1,1,24354,24749,1,0
137,2,1,19639,19948,1,0
137,1,1,8158,9535,0,1
137,2,1,14748,17086,0,1
138,1,1,1190,1207,1,0
138,2,1,1520,1561,1,0
138,1,1,2179,2194,0,1
138,2,1,2083,2089,0,1
139,1,1,537,538,1,0
139,2,1,514,517,1,0
139,1,1,555,556,0,1
139,2,1,486,486,0,1
140,1,1,1009,1036,1,0
140,2,1,1715,1728,1,0
140,1,1,2337,2362,0,1
140,2,1,2075,2108,0,1
141,1,1,8869,8900,1,0
141,2,1,6865,6923,1,0
141,1,1,3295,3304,0,1
141,2,1,5678,5694,0,1
142,1,1,33,33,1,0
142,2,1,44,47,1,0
142,1,1,58,58,0,1
142,2,1,109,109,0,1
143,1,1,836,837,1,0
143,2,1,716,716,1,0
143,1,1,642,645,0,1
143,2,1,690,691,0,1
144,1,1,200,202,1,0
144,2,1,350,350,1,0
144,1,1,572,572,0,1
144,2,1,579,580,0,1
145,1,1,42,42,1,0
145,2,1,68,68,1,0
145,1,1,113,113,0,1
145,2,1,106,106,0,1
146,1,1,1259,1265,1,0
146,2,1,2680,2683,1,0
146,1,1,3104,4120,0,1
146,2,1,2573,3603,0,1
147,1,1,62,63,1,0
147,2,1,103,103,1,0
147,1,1,116,120,0,1
147,2,1,96,102,0,1
148,1,1,3533,3540,1,0
148,2,1,2530,2531,1,0
148,1,1,2011,2030,0,1
148,2,1,2299,2316,0,1
149,1,1,5602,5606,1,0
149,2,1,4577,4582,1,0
149,1,1,2645,2801,0,1
149,2,1,2717,2861,0,1
150,1,1,667,680,1,0
150,2,1,822,838,1,0
150,1,1,1508,1509,0,1
150,2,1,994,995,0,1
151,1,1,33,34,1,0
151,2,1,26,26,1,0
151,1,1,66,66,0,1
151,2,1,33,33,0,1
152,1,1,370,372,1,0
152,2,1,532,532,1,0
152,1,1,621,622,0,1
152,2,1,590,591,0,1
153,1,1,56,59,1,0
153,2,1,209,222,1,0
153,1,1,318,321,0,1
153,2,1,60,60,0,1
154,1,1,1130,1134,1,0
154,2,1,1643,1644,1,0
154,1,1,2028,2075,0,1
154,2,1,1884,1942,0,1
155,1,1,504,504,1,0
155,2,1,754,757,1,0
155,1,1,924,933,0,1
155,2,1,712,715,0,1
156,1,1,5370,5376,1,0
156,2,1,5012,5018,1,0
156,1,1,5732,5748,0,1
156,2,1,5854,5869,0,1
157,1,1,1536,1537,1,0
157,2,1,1080,1084,1,0
157,1,1,2099,2343,0,1
157,2,1,2033,2276,0,1
158,1,1,131,131,1,0
158,2,1,207,209,1,0
158,1,1,614,614,0,1
158,2,1,426,428,0,1
159,1,1,2826,2849,1,0
159,2,1,3205,3252,1,0
159,1,1,2241,2298,0,1
159,2,1,2492,2580,0,1
160,1,1,294,294,1,0
160,2,1,203,204,1,0
160,1,1,370,378,0,1
160,2,1,435,444,0,1
161,1,1,2645,2652,1,0
161,2,1,5406,5416,1,0
161,1,1,6729,6872,0,1
161,2,1,5971,6103,0,1
162,1,1,5988,6085,1,0
162,2,1,5790,5798,1,0
162,1,1,4889,5007,0,1
162,2,1,5267,5400,0,1
163,1,1,859,859,1,0
163,2,1,1099,1101,1,0
163,1,1,829,845,0,1
163,2,1,831,845,0,1
164,1,1,188,196,1,0
164,2,1,259,270,1,0
164,1,1,254,260,0,1
164,2,1,248,259,0,1
165,1,1,436,444,1,0
165,2,1,382,389,1,0
165,1,1,972,989,0,1
165,2,1,958,983,0,1
166,1,1,732,733,1,0
166,2,1,1056,1061,1,0
166,1,1,1338,1349,0,1
166,2,1,1246,1269,0,1
167,1,1,534,535,1,0
167,2,1,421,421,1,0
167,1,1,727,740,0,1
167,2,1,676,682,0,1
168,1,1,292,292,1,0
168,2,1,418,419,1,0
168,1,1,499,634,0,1
168,2,1,454,604,0,1
169,1,1,22,22,1,0
169,2,1,14,14,1,0
169,1,1,29,29,0,1
169,2,1,13,13,0,1
170,1,1,10095,10110,1,0
170,2,1,7889,7902,1,0
170,1,1,7757,8095,0,1
170,2,1,7530,7847,0,1
171,1,1,1116,1132,1,0
171,2,1,1206,1212,1,0
171,1,1,969,1059,0,1
171,2,1,961,1096,0,1
172,1,1,579,579,1,0
172,2,1,752,752,1,0
172,1,1,820,828,0,1
172,2,1,853,860,0,1
173,1,1,393,395,1,0
173,2,1,592,595,1,0
173,1,1,906,918,0,1
173,2,1,800,814,0,1
174,1,1,791,791,1,0
174,2,1,691,693,1,0
174,1,1,492,641,0,1
174,2,1,582,746,0,1
175,1,1,388,395,1,0
175,2,1,356,361,1,0
175,1,1,338,354,0,1
175,2,1,221,233,0,1
176,1,1,3933,4503,1,0
176,2,1,2721,3038,1,0
176,1,1,3650,3664,0,1
176,2,1,4150,4155,0,1
177,1,1,338,354,1,0
177,2,1,598,615,1,0
177,1,1,450,482,0,1
177,2,1,473,515,0,1
178,1,1,467,471,1,0
178,2,1,756,796,1,0
178,1,1,912,942,0,1
178,2,1,974,1034,0,1
179,1,1,264,264,1,0
179,2,1,249,249,1,0
179,1,1,308,323,0,1
179,2,1,261,308,0,1
180,1,1,34,34,1,0
180,2,1,44,44,1,0
180,1,1,40,40,0,1
180,2,1,22,22,0,1
181,1,1,228,228,1,0
181,2,1,298,298,1,0
181,1,1,415,425,0,1
181,2,1,357,365,0,1
182,1,1,62,62,1,0
182,2,1,105,105,1,0
182,1,1,96,97,0,1
182,2,1,104,106,0,1
183,1,1,515,522,1,0
183,2,1,771,791,1,0
183,1,1,1064,1109,0,1
183,2,1,1024,1062,0,1
184,1,1,17189,17310,1,0
184,2,1,15773,15808,1,0
184,1,1,10991,12836,0,1
184,2,1,9718,11322,0,1
185,1,1,306,310,1,0
185,2,1,230,238,1,0
185,1,1,196,212,0,1
185,2,1,156,162,0,1
186,1,1,435,435,1,0
186,2,1,427,427,1,0
186,1,1,220,221,0,1
186,2,1,293,293,0,1
187,1,1,726,729,1,0
187,2,1,872,875,1,0
187,1,1,1034,1043,0,1
187,2,1,981,991,0,1
188,1,1,376,377,1,0
188,2,1,366,367,1,0
188,1,1,554,555,0,1
188,2,1,632,634,0,1
189,1,1,250,254,1,0
189,2,1,324,331,1,0
189,1,1,510,510,0,1
189,2,1,436,437,0,1
190,1,1,3756,3971,1,0
190,2,1,7951,8278,1,0
190,1,1,6827,7790,0,1
190,2,1,7311,8388,0,1
191,1,1,20,20,1,0
191,2,1,28,28,1,0
191,1,1,30,30,0,1
191,2,1,48,48,0,1
192,1,1,104,105,1,0
192,2,1,141,150,1,0
192,1,1,154,154,0,1
192,2,1,140,143,0,1
193,1,1,169,169,1,0
193,2,1,264,264,1,0
193,1,1,485,543,0,1
193,2,1,434,498,0,1
194,1,1,681,685,1,0
194,2,1,1041,1043,1,0
194,1,1,1145,1146,0,1
194,2,1,1038,1040,0,1
195,1,1,180,180,1,0
195,2,1,163,163,1,0
195,1,1,218,223,0,1
195,2,1,204,208,0,1
196,1,1,145,145,1,0
196,2,1,107,108,1,0
196,1,1,94,94,0,1
196,2,1,75,75,0,1
197,1,1,392,401,1,0
197,2,1,370,371,1,0
197,1,1,798,798,0,1
197,2,1,1103,1104,0,1
198,1,1,68,68,1,0
198,2,1,96,96,1,0
198,1,1,93,93,0,1
198,2,1,93,94,0,1
199,1,1,234,235,1,0
199,2,1,363,364,1,0
199,1,1,559,572,0,1
199,2,1,583,600,0,1
200,1,1,1437,1438,1,0
200,2,1,1512,1513,1,0
200,1,1,1652,1710,0,1
200,2,1,1747,1820,0,1
201,1,1,765,774,1,0
201,2,1,911,920,1,0
201,1,1,1093,1104,0,1
201,2,1,1119,1125,0,1
202,1,1,113,113,1,0
202,2,1,107,109,1,0
202,1,1,209,209,0,1
202,2,1,177,177,0,1
203,1,1,294,294,1,0
203,2,1,274,274,1,0
203,1,1,206,216,0,1
203,2,1,183,189,0,1
204,1,1,906,907,1,0
204,2,1,776,779,1,0
204,1,1,984,985,0,1
204,2,1,1138,1139,0,1
205,1,1,194,208,1,0
205,2,1,203,220,1,0
205,1,1,310,314,0,1
205,2,1,288,296,0,1
206,1,1,81476,81506,1,0
206,2,1,65377,65411,1,0
206,1,1,37730,38211,0,1
206,2,1,48866,49492,0,1
207,1,1,85,85,1,0
207,2,1,98,98,1,0
207,1,1,129,129,0,1
207,2,1,172,173,0,1
208,1,1,2493,2496,1,0
208,2,1,1812,1816,1,0
208,1,1,2383,2532,0,1
208,2,1,2290,2426,0,1
209,1,1,452,453,1,0
209,2,1,365,367,1,0
209,1,1,388,395,0,1
209,2,1,417,428,0,1
210,1,1,357,358,1,0
210,2,1,323,323,1,0
210,1,1,377,381,0,1
210,2,1,339,348,0,1
211,1,1,975,980,1,0
211,2,1,1288,1294,1,0
211,1,1,1312,1345,0,1
211,2,1,982,1012,0,1
212,1,1,453,456,1,0
212,2,1,439,440,1,0
212,1,1,708,709,0,1
212,2,1,648,649,0,1
213,1,1,592,593,1,0
213,2,1,398,401,1,0
213,1,1,523,546,0,1
213,2,1,325,348,0,1
214,1,1,1023,1028,1,0
214,2,1,1148,1149,1,0
214,1,1,945,1019,0,1
214,2,1,942,1002,0,1
215,1,1,735,738,1,0
215,2,1,1060,1061,1,0
215,1,1,1442,1447,0,1
215,2,1,1363,1372,0,1
216,1,1,1181,1299,1,0
216,2,1,1714,1806,1,0
216,1,1,2084,2086,0,1
216,2,1,1908,1911,0,1
217,1,1,404,413,1,0
217,2,1,500,509,1,0
217,1,1,593,608,0,1
217,2,1,538,559,0,1
218,1,1,386,386,1,0
218,2,1,408,408,1,0
218,1,1,317,390,0,1
218,2,1,273,335,0,1
219,1,1,539,774,1,0
219,2,1,372,529,1,0
219,1,1,2446,2580,0,1
219,2,1,2589,2683,0,1
220,1,1,237,238,1,0
220,2,1,321,325,1,0
220,1,1,398,412,0,1
220,2,1,393,421,0,1
221,1,1,330,334,1,0
221,2,1,459,459,1,0
221,1,1,713,714,0,1
221,2,1,490,490,0,1
222,1,1,138,143,1,0
222,2,1,128,132,1,0
222,1,1,147,149,0,1
222,2,1,125,126,0,1
223,1,1,506,519,1,0
223,2,1,586,601,1,0
223,1,1,800,802,0,1
223,2,1,749,751,0,1
224,1,1,468,490,1,0
224,2,1,770,808,1,0
224,1,1,927,975,0,1
224,2,1,931,1004,0,1
225,1,1,474,484,1,0
225,2,1,431,439,1,0
225,1,1,372,372,0,1
225,2,1,453,455,0,1
226,1,1,921,921,1,0
226,2,1,333,333,1,0
226,1,1,85,86,0,1
226,2,1,51,51,0,1
227,1,1,862,871,1,0
227,2,1,1016,1033,1,0
227,1,1,1285,1287,0,1
227,2,1,1338,1340,0,1
228,1,1,117,150,1,0
228,2,1,104,148,1,0
228,1,1,134,134,0,1
228,2,1,253,254,0,1
229,1,1,524,524,1,0
229,2,1,374,375,1,0
229,1,1,314,340,0,1
229,2,1,328,355,0,1
230,1,1,366,366,1,0
230,2,1,393,395,1,0
230,1,1,415,415,0,1
230,2,1,376,377,0,1
231,1,1,154,154,1,0
231,2,1,102,102,1,0
231,1,1,144,145,0,1
231,2,1,89,90,0,1
232,1,1,1002,1049,1,0
232,2,1,910,945,1,0
232,1,1,702,936,0,1
232,2,1,450,632,0,1
233,1,1,52,52,1,0
233,2,1,62,62,1,0
233,1,1,125,125,0,1
233,2,1,150,150,0,1
234,1,1,1002,1011,1,0
234,2,1,1169,1177,1,0
234,1,1,1318,1326,0,1
234,2,1,1341,1371,0,1
235,1,1,318,318,1,0
235,2,1,550,554,1,0
235,1,1,659,868,0,1
235,2,1,631,882,0,1
236,1,1,293,293,1,0
236,2,1,252,252,1,0
236,1,1,198,230,0,1
236,2,1,211,259,0,1
237,1,1,1339,1342,1,0
237,2,1,1358,1359,1,0
