Name,SCfxSDm_20_2015,SCfxSDm_20_2016,SCfxSDm_35_2015,SCfxSDm_35_2016,SDfxSCm_20_2015,SDfxSCm_20_2016,SDfxSCm_35_2015,SDfxSCm_35_2016,SD_20_2015,SD_20_2016,SD_35_2015,SD_35_2016,SCN_20_2015,SCN_20_2016,SCN_35_2015,SCN_35_2016
SD_As4_Contig4394,790,4320,1684,6004,1108,4688,1782,2664,3146,6342,5663,4604,1037,927,771,779
SD_As4_Contig6290,42,205,58,263,41,193,55,48,62,111,60,72,127,94,86,79
SD_As4_Contig95934,1,8,0,8,0,11,0,2,1,2,0,0,5,3,0,2
SD_As4_Contig10993,237,775,710,1485,347,718,694,559,293,503,601,467,879,817,569,611
SD_As4_Contig2233cap,222,1008,486,1494,305,955,465,530,378,773,446,500,997,758,681,643
SD_As4_Contig14567,66,200,314,514,99,186,245,236,125,255,419,335,65,72,84,103
SD_As4_Contig713cap,118,577,254,831,180,571,285,373,205,471,276,339,523,546,429,361
SD_As4_Contig7329,38,361,89,450,111,443,137,252,93,319,142,249,414,219,355,409
SD_As4_Contig7618,107,1556,366,1922,320,1763,613,1075,345,1306,755,1322,1679,1044,1582,1628
SD_As4_Contig20061,243,978,929,1907,460,706,894,866,365,611,683,658,495,643,596,525
SD_As4_Contig2009,127,715,291,1006,217,627,357,361,208,447,319,445,737,528,631,620
SD_As4_Contig12221,346,867,864,1731,374,895,842,394,459,822,653,484,702,938,923,501
SD_As4_Contig13615,0,3,1,4,0,1,0,0,0,0,0,1,4,0,1,5
SD_As4_Contig1225,249,1695,561,2256,491,2121,721,841,522,1259,733,1328,1447,897,1411,1403
SD_As4_Contig14183,60,204,35,239,87,154,52,36,111,239,70,58,138,224,111,51
SD_As4_Contig1636cap,174,670,293,963,212,780,257,214,293,443,247,292,509,465,382,345
SD_As4_Contig11045,201,1051,545,1596,381,1113,635,760,354,986,691,788,910,702,789,803
SD_As4_Contig21846,47,434,158,592,66,326,107,251,219,186,240,93,418,154,86,276
SD_As4_Contig11977,2,17,5,22,6,20,4,8,47,58,58,38,4,1,0,0
SD_As4_Contig11369,1,24,11,35,9,34,15,10,5,9,23,5,30,15,24,16
SD_As4_Contig4251,66,995,261,1256,245,1216,442,698,227,836,502,857,985,593,1067,1041
SD_As4_Contig446cap,228,807,559,1366,356,859,557,524,277,611,471,444,859,672,787,733
SD_As4_Contig3184,130,757,342,1099,218,779,410,507,227,597,503,468,831,618,674,754
SD_As4_Contig11201,102,169,187,356,135,112,219,54,83,250,79,118,112,187,173,54
SD_As4_Contig18780,52,342,145,487,116,368,139,141,117,279,189,228,282,177,177,243
SD_As4_Contig25766,1,12,7,19,2,14,6,2,2,6,14,1,5,10,6,4
SD_As4_Contig5181,238,1603,756,2359,530,1659,891,945,450,1285,826,1010,1624,1143,1534,1528
SD_As4_Contig4241,125,720,224,944,257,695,326,499,189,629,291,462,753,596,725,672
SD_As4_Contig2656cap,30,77,34,111,43,105,44,20,24,49,16,53,39,68,86,31
SD_As4_Contig3648,75,296,80,376,124,216,126,56,62,205,83,63,296,146,204,317
SD_As4_Contig22571,0,4,0,4,2,6,2,2,0,1,0,0,4,1,1,0
SD_As4_Contig1604,155,658,441,1099,272,827,560,620,243,736,774,867,576,472,489,476
SD_As4_Contig30940,34,201,124,325,46,229,98,107,83,202,158,176,170,154,279,189
SD_As4_Contig22184,181,262,302,564,196,222,387,141,101,203,235,130,257,308,312,173
SD_As4_Contig3694,25,88,64,152,72,114,52,53,40,76,47,38,119,105,69,57
SD_As4_Contig11040,5,58,33,91,22,52,43,30,10,59,40,38,46,44,35,43
SD_As4_Contig10544,5,43,8,51,13,51,20,9,12,29,13,28,50,35,49,53
SD_As4_Contig3972,52,177,120,297,54,116,110,78,60,115,108,61,125,111,79,90
SD_As4_Contig1057cap,8,54,18,72,21,70,30,33,15,63,23,67,34,30,23,17
SD_As4_Contig3911,7,85,31,116,44,62,30,22,21,70,21,54,103,112,166,195
SD_As4_Contig1321cap,20,125,51,176,26,94,60,55,42,60,81,52,132,91,67,81
SD_As4_Contig12400,13,80,22,102,21,69,14,19,24,56,23,22,38,31,26,29
SD_As4_Contig1185,459,2190,1165,3355,612,2066,1044,1045,829,1387,1474,1604,1366,1266,1226,979
SD_As4_Contig6025,138,720,406,1126,263,746,370,398,261,657,428,457,707,642,576,525
SD_As4_Contig3020,41,180,657,837,100,470,762,660,95,271,932,800,122,101,609,556
SD_As4_Contig13249,583,2161,960,3121,633,2509,857,1333,989,1679,1201,953,2195,2012,1707,1590
SD_As4_Contig871,212,998,519,1517,302,834,498,597,412,762,605,550,742,741,646,686
SD_As4_Contig13257,8,24,58,82,16,27,36,35,27,37,45,37,18,27,17,32
SD_As4_Contig12747,118,516,317,833,197,687,358,277,244,519,348,456,568,464,637,824
SD_As4_Contig1175,5007,29238,13919,43157,9208,20775,15427,16792,7013,13489,13236,10186,14512,16198,12894,13135
SD_As4_Contig1665,177,760,402,1162,327,603,464,286,447,790,659,488,385,270,266,330
SD_As4_Contig6587,209,1004,514,1518,370,998,595,841,376,1037,671,782,853,660,692,759
SD_As4_Contig16533,85,661,255,916,230,725,373,426,211,652,377,553,586,468,596,558
SD_As4_Contig33931,3,26,1,27,5,18,3,0,6,15,5,4,14,6,7,9
SD_As4_Contig12422,29,182,95,277,62,217,111,148,45,153,128,165,202,134,207,208
SD_As4_Contig1425cap,117,986,259,1245,303,1105,404,613,325,918,482,730,846,606,681,710
SD_As4_Contig7491,66,856,236,1092,266,1286,441,579,199,718,392,833,1122,609,1398,1775
SD_As4_Contig24236,73,262,179,441,106,226,159,155,140,261,178,114,257,210,146,162
SD_As4_Contig8194,169,488,456,944,218,551,384,298,233,363,463,375,427,330,360,403
SD_As4_Contig49168,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SD_As4_Contig15428,21,119,53,172,25,80,42,49,24,88,46,66,104,99,86,72
SD_As4_Contig19089,20,169,54,223,45,133,63,66,265,667,582,205,145,129,87,112
SD_As4_Contig13759,149,932,432,1364,240,893,356,572,263,583,359,385,853,459,682,1006
SD_As4_Contig20414,49,199,75,274,79,254,93,171,72,178,109,93,198,221,222,131
SD_As4_Contig2359cap,20,100,31,131,28,51,59,45,50,95,99,85,10,11,17,11
SD_As4_Contig1381cap,319,1463,1184,2647,545,1550,1255,989,498,977,1378,1333,1591,1182,1597,1480
SD_As4_Contig15504,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3,0
SD_As4_Contig86781,0,0,0,0,1,2,0,0,0,0,0,0,2,2,1,1
SD_As4_Contig2216cap,492,2134,1127,3261,782,2123,1262,957,517,1125,892,1408,2069,1196,1637,1493
SD_As4_Contig17622,8,82,30,112,18,80,29,27,22,39,31,65,33,35,54,42
SD_As4_Contig6605,69,423,163,586,122,465,215,302,103,355,187,242,441,415,471,402
SD_As4_Contig19091,282,1279,720,1999,411,1108,676,904,491,997,704,631,1128,1117,929,995
SD_As4_Contig3429,137,1305,465,1770,364,1651,668,935,404,1073,742,987,1496,836,1373,1489
SD_As4_Contig2427,43,71,121,192,69,79,148,53,57,160,140,93,62,78,66,50
SD_As4_Contig17293,117,553,258,811,236,627,310,412,167,552,325,422,668,490,585,526
SD_As4_Contig24917,19,76,38,114,41,77,31,21,38,85,60,41,64,55,23,13
SD_As4_Contig17923,163,731,309,1040,350,653,372,483,225,635,337,359,804,700,657,558
SD_As4_Contig17858,32,215,98,313,60,212,95,142,91,182,174,135,181,214,170,107
SD_As4_Contig119cap,173,1400,389,1789,375,1731,528,895,419,1037,596,948,1436,943,1252,1182
SD_As4_Contig16466,47,272,118,390,94,278,128,208,73,217,213,185,230,153,173,163
SD_As4_Contig3851cap,89,465,256,721,137,386,273,315,154,467,331,392,380,249,314,386
